Name,Date,Lat,Lng,Speed(mph),Speed(km/h),Altitude(ft),Altitude(m),Accuracy,Type,Date2
Ruksana’s iPhone,2019-12-04 5:56:41 PM,,,,,13,4,65,GPS,2019-12-04 17:56:41+00:00
Ruksana’s iPhone,2019-12-04 5:59:08 PM,,,1,2,16,5,16,GPS,2019-12-04 17:59:08+00:00
Ruksana’s iPhone,2019-12-04 6:01:22 PM,,,1,2,19,6,32,GPS,2019-12-04 18:01:22+00:00
Ruksana’s iPhone,2019-12-04 6:02:33 PM,,,4,6,19,6,6,GPS,2019-12-04 18:02:33+00:00
Ruksana’s iPhone,2019-12-04 6:06:15 PM,,,,,-19,-6,32,GPS,2019-12-04 18:06:15+00:00
Ruksana’s iPhone,2019-12-04 6:08:55 PM,,,0,0,19,6,32,GPS,2019-12-04 18:08:55+00:00
Ruksana’s iPhone,2019-12-04 6:11:27 PM,,,0,0,19,6,32,GPS,2019-12-04 18:11:27+00:00
Name,Date,Lat,Lng,Speed(mph),Speed(km/h),Altitude(ft),Altitude(m),Accuracy,Type,Date2
Ruksana’s iPhone,2019-12-05 9:14:33 AM,,,,,665,203,48,GPS,2019-12-05 09:14:33+00:00
Ruksana’s iPhone,2019-12-05 9:17:17 AM,,,,,-1154,-352,48,GPS,2019-12-05 09:17:17+00:00
Ruksana’s iPhone,2019-12-05 9:19:23 AM,,,2,3,19,6,32,GPS,2019-12-05 09:19:23+00:00
